      Step     Time          Energy          fmax
FIRE:   22 00:56:26    -1034.093730        0.170241
FIRE:   23 00:56:27    -1034.119384        0.232665
FIRE:   24 00:56:28    -1034.153223        0.210991
FIRE:   25 00:56:29    -1034.192355        0.121932
FIRE:   26 00:56:30    -1034.215093        0.158884
FIRE:   27 00:56:31    -1034.232351        0.254306
FIRE:   28 00:56:32    -1034.268443        0.166164
FIRE:   29 00:56:33    -1034.300982        0.183351
FIRE:   30 00:56:34    -1034.342232        0.208387
FIRE:   31 00:56:35    -1034.406406        0.123195
FIRE:   32 00:56:36    -1034.463294        0.218217
FIRE:   33 00:56:37    -1034.532852        0.186010
FIRE:   34 00:56:38    -1034.580025        0.385720
FIRE:   35 00:56:39    -1034.580034        0.995429
FIRE:   36 00:56:40    -1034.650405        0.121339
FIRE:   37 00:56:41    -1034.613404        0.928033
FIRE:   38 00:56:42    -1034.636488        0.686534
FIRE:   39 00:56:43    -1034.661533        0.266798
FIRE:   40 00:56:43    -1034.666783        0.220853
FIRE:   41 00:56:44    -1034.667368        0.206701
FIRE:   42 00:56:46    -1034.668413        0.179375
FIRE:   43 00:56:47    -1034.669796        0.140939
FIRE:   44 00:56:48    -1034.671396        0.101202
FIRE:   45 00:56:49    -1034.672845        0.100874
FIRE:   46 00:56:51    -1034.674383        0.100534
FIRE:   47 00:56:52    -1034.675893        0.100191
FIRE:   48 00:56:53    -1034.677714        0.099838
      Step     Time          Energy          fmax
FIRE:    0 00:56:54    -1026.851822        3.508514
FIRE:    1 00:56:56    -1030.693990        2.483101
FIRE:    2 00:56:57    -1032.436075        1.736868
FIRE:    3 00:56:58    -1032.913648        1.265873
FIRE:    4 00:56:59    -1033.167002        1.131773
FIRE:    5 00:57:01    -1033.546046        1.068363
FIRE:    6 00:57:02    -1033.871256        0.994219
FIRE:    7 00:57:03    -1034.033799        0.920608
FIRE:    8 00:57:05    -1034.090923        0.857902
FIRE:    9 00:57:06    -1034.114543        0.844516
FIRE:   10 00:57:07    -1034.158116        0.827120
FIRE:   11 00:57:08    -1034.214796        0.802221
FIRE:   12 00:57:10    -1034.276507        0.771122
FIRE:   13 00:57:11    -1034.335783        0.735454
FIRE:   14 00:57:12    -1034.387225        0.697133
FIRE:   15 00:57:14    -1034.429088        0.658403
FIRE:   16 00:57:15    -1034.466856        0.617957
FIRE:   17 00:57:16    -1034.504847        0.578549
FIRE:   18 00:57:17    -1034.551660        0.541388
FIRE:   19 00:57:19    -1034.615518        0.504563
FIRE:   20 00:57:20    -1034.700001        0.463186
FIRE:   21 00:57:21    -1034.797680        0.410876
FIRE:   22 00:57:22    -1034.890352        0.342747
FIRE:   23 00:57:24    -1034.962511        0.266882
FIRE:   24 00:57:25    -1035.024528        0.357181
FIRE:   25 00:57:26    -1035.099054        0.300854
FIRE:   26 00:57:28    -1035.175631        0.241518
FIRE:   27 00:57:29    -1035.222939        0.232398
FIRE:   28 00:57:30    -1035.265862        0.291787
FIRE:   29 00:57:31    -1035.322507        0.206295
FIRE:   30 00:57:33    -1035.355369        0.269586
FIRE:   31 00:57:34    -1035.415175        0.205460
FIRE:   32 00:57:35    -1035.490089        0.221240
FIRE:   33 00:57:37    -1035.568998        0.196714
FIRE:   34 00:57:38    -1035.627153        0.259857
FIRE:   35 00:57:39    -1035.640617        0.161692
FIRE:   36 00:57:40    -1035.650437        0.083307
      Step     Time          Energy          fmax
FIRE:    0 00:57:42    -1031.741620        3.362738
FIRE:    1 00:57:43    -1034.463122        1.160088
FIRE:    2 00:57:45    -1034.799433        1.228235
FIRE:    3 00:57:46    -1034.956617        1.069988
FIRE:    4 00:57:47    -1035.186860        0.771827
FIRE:    5 00:57:48    -1035.372409        0.506982
FIRE:    6 00:57:50    -1035.447555        0.534894
FIRE:    7 00:57:51    -1035.462495        0.807972
FIRE:    8 00:57:52    -1035.477803        0.770688
FIRE:    9 00:57:53    -1035.505976        0.699236
FIRE:   10 00:57:55    -1035.542734        0.599317
FIRE:   11 00:57:56    -1035.582812        0.480789
